Quantity,Part,Description
1,Seeed Studio XIAO ESP32-C3-SMD,Microcontroller
6,MX-style mechanical switch,Keyboard switches
6,White blank DSA keycap,Keycaps
1,2.25-inch ST7789 TFT display,Display
1,1x8 pin header,Display connector
1,3V buzzer,Buzzer
